time,Sent,Received 
0,1245.7171875,1449.5875 
10,3355.7484375,3907.35 
20,3352.91953125,3903.96875 
30,3345.93046875,3895.96875 
40,3392.85703125,3950.16875 
50,3316.64296875,3861.20625 
60,3293.34609375,3834.85 
70,3313.1484375,3857.99375 
80,3313.8140625,3858.09375 
90,3310.98515625,3855.04375 
100,3328.790625,3875.675 
110,3325.62890625,3872.29375 
120,3294.84375,3835.7625 
130,3356.08125,3907.75 
140,3302.33203125,3845.0625 
150,3295.1765625,3836.68125 
160,3353.91796875,3905.375 
170,3337.1109375,3885.21875 
180,3367.0640625,3920.3375 
190,3380.709375,3935.64375 
200,3325.29609375,3871.99375 
210,3314.146875,3858.91875 
220,3364.23515625,3916.89375 
230,3358.91015625,3911.19375 
240,3285.02578125,3824.9125 
250,3326.96015625,3873.6 
260,3326.29453125,3872.66875 
270,3341.7703125,3891.18125 
280,3296.34140625,3837.65 
290,3324.63046875,3871.325 
300,3302.99765625,3845.45 
310,3369.39375,3923.39375 
320,3349.7578125,3899.75 
330,3333.1171875,3880.6125 
340,3291.1828125,3831.9875 
350,3258.234375,3793.86875 
360,3272.878125,3810.625 
370,3356.24765625,3907.45625 
380,3342.4359375,3891.95 
390,3362.7375,3915.0125 
400,3367.396875,3920.725 
410,3346.92890625,3897.04375 
420,3342.103125,3891.41875 
430,3327.29296875,3874.36875 
440,3306.99140625,3850.2 
450,3285.35859375,3825.0625 
460,3305.49375,3848.7875 
470,3328.62421875,3875.5875 
480,3296.175,3837.26875 
490,3331.7859375,3879.2125 
500,2119.6828125,2366.75625 
