time,Used
0,2313.9765625
10,2477.01953125
20,2799.8359375
30,3124.1328125
40,3453.078125
50,3770.09375
60,4081.94140625
70,4385.5546875
80,4710.55078125
90,5010.26171875
100,5324.4296875
110,5637.18359375
120,5947.0859375
130,6259.0390625
140,6594.22265625
150,6893.2109375
160,7228.66796875
170,7540.37890625
180,7849.87890625
190,8159.53515625
200,8474.59765625
210,8779.4140625
220,9089.2578125
230,9401.33984375
240,9709.75390625
250,10015.69140625
260,10326.90625
270,10712.46875
280,11019.796875
290,11309.8515625
300,11598.98046875
310,11893.65625
320,12202.28515625
330,12511.76953125
340,12824.2421875
350,13135.98046875
360,13446.51171875
370,13747.15625
380,14062.9609375
390,14370.671875
400,14684.77734375
410,14996.140625
420,15309.6328125
430,15623.203125
440,15968.97265625
450,16280.06640625
460,16608.44140625
470,16916.609375
480,17221.5078125
490,17529.4296875
500,17839.27734375
