time,Load
0,0.140625 
10,0.359375 
20,0.828125 
30,1.78125 
40,2.3515625 
50,2.4609375 
60,3.359375 
70,3.76171875 
80,3.55859375 
90,3.5703125 
100,3.55078125 
110,3.30859375 
120,3.66015625 
130,3.80859375 
140,5.66015625 
150,5.48046875 
160,5.03125 
170,4.73046875 
180,4.62109375 
190,4.6015625 
200,4.66015625 
210,4.4609375 
220,4.23046875 
230,4.4296875 
240,4.28125 
250,4.21875 
260,4.01953125 
270,4.41015625 
280,4.6015625 
290,4.73046875 
300,5.1796875 
310,5.078125 
320,5.1484375 
330,5.80859375 
340,5.44921875 
350,5.37890625 
360,4.8515625 
370,4.9609375 
380,4.80078125 
390,4.2890625 
400,4.1015625 
410,4.3203125 
420,4.51171875 
430,4.578125 
440,4.578125 
450,4.640625 
460,4.94921875 
470,4.48046875 
480,4.01171875 
490,4.01953125 
500,3.859375 
510,4.23828125 
520,3.8203125 
