time,Connect,Request 
0,1.5495984504408125,3.7284640470462302 
10,1.3081382029157873,2.6151255454184583 
20,1.3051512730160382,2.4920827336344167 
30,1.3156013826030815,2.6378015316524803 
40,1.3634228260336532,2.5917956741380177 
50,1.5328557523455975,2.9286910724143307 
60,1.389675761709872,2.639324171382373 
70,1.3709259668508431,2.6203243609702125 
80,1.3385777342573006,2.5460959674584225 
90,1.3705155048499706,2.6124288586219047 
100,1.3202769446110898,2.51319211157769 
110,1.4526049537152883,2.760264698523882 
120,1.3216725252525214,2.519888423073037 
130,1.3588289865132828,2.8015698135660476 
140,1.3097777777777906,2.487977073465699 
150,1.3394896475103382,2.550508357319593 
160,1.344450458943199,2.5538080472316187 
170,1.4180058342475381,2.717584201865057 
180,1.3594136601759423,2.57525486804389 
190,1.3586436798582269,2.574781716142354 
200,1.36965340539459,2.595745308981761 
210,1.3666195019080112,2.5729084701511438 
220,1.3825207004006572,2.6250790918533795 
230,1.8354247708694518,3.436960961109742 
240,1.4775379160123658,2.7888195724850458 
250,1.4348808583004093,2.6954461284513522 
260,1.4201144057202835,2.737618790334681 
270,1.4182169754931384,2.6785129533678673 
280,1.4085120254121914,2.662898128058945 
290,1.5274379470761792,2.8893604604604537 
300,1.3860210494511054,2.6062290407093798 
310,1.3633871445497556,2.5737756432416417 
320,1.389363297925143,2.6302374304451406 
330,1.3554544955593257,2.5649284573140303 
340,1.5402841477588531,2.8765952573566462 
350,1.7275259773400096,3.3178913742914067 
360,1.3860389696169122,2.6206820215578523 
370,1.3325959165469063,2.530310755194115 
380,1.3580914248743385,2.551144763042608 
390,1.3801230091997183,2.6067976838562807 
400,1.3945968674341689,2.6167389800355783 
410,1.4938233043478168,2.820044846616601 
420,1.3986859631657491,2.6360936519790696 
430,1.4602269432641906,2.7467107066059846 
440,1.4078106449340964,2.651058524557178 
450,1.4032511135857395,2.640710464998472 
460,1.4615678409662702,2.7527811335951156 
470,1.573211533656488,3.020322517748226 
480,1.477247754566566,2.8108374652865535 
490,1.3988595544900564,2.6479637398861144 
500,1.9705055738734514,3.1696268107046426 

